Check pH,Check Water Temp,Close Small Bags,Bag Count,Check Flow Rate,Clean Bubbas,Clean Nursery Tank,Feed Broodstock,Swirl Stock Room flasks,Cleanbubbas2,,,,
4.5,1.3,3.5,6,,7,15,11,1,14,,,,
2,1,1,4,,18,,9,1,36,,,,
1,2,2.5,1,1,10,,8,1,20,,,,
2,2,0.8,2,0.3,11,,10,2,22,,,,
3,1.5,1,,3,11,,7,2,22,,,,
2,1.5,,,1,14,,5,2,28,,,,
2,1,,,1,,,9,2,,,,,
3.3,1.7,,,0.3,,,6,2,,,,,
3,1,,,1.5,,,3,2.7,,,,,
2.5,1,,,,,,9,2,,,,,
1.5,1,,,,,,8,,,,,,
2.5,2,,,,,,11,,,,,,
3,3,,,,,,9,,,,,,
3.6,1.7,,,,,,,,,,,,
,,,,,,,,,,Total,Algae,Other,
2.56,1.55,1.76,3.25,2.68,11.83,,8.08,1.77,,33.48,25.41,8.08,0.76
,,,,,,,,,,,,,
14,14,5,4,7,6,1,13,10,,139.79,96.25,,
,,,,,,,,,,2.33,1.6,,
,,,,,,,,,,,,,
,,,,,,,,,,,0.69,,
