date,year,Species,strain,sppc,inoculation date,bag_length_days,quality number,quality (S/F),rack (ANAL),position (1-12),notes
1/20/20,y2020,M,Gamma,Mono-Gamma,1/17/20,3,3,NA,B,12,Airline popped out overnight
1/21/20,y2020,CC,Beta,CC-Beta,1/17/20,4,5,NA,D,12,Airline popped during lunch
1/23/20,y2020,Ch,Beta,Chgra-Beta,1/17/20,6,1,F,B,7,"crashed, clear"
1/23/20,y2020,Ch,Beta,Chgra-Beta,1/17/20,6,1,F,B,8,"crashed, clear"
1/23/20,y2020,Ch,Gamma,Chgra-Gamma,1/17/20,6,1,F,B,9,"crashed, clear"
1/23/20,y2020,Ch,Gamma,Chgra-Gamma,1/17/20,6,1,F,B,10,"crashed, clear"
1/28/20,y2020,C,Beta,C-ISO-Beta,1/20/20,8,3,S,C,9,big white chunks
1/28/20,y2020,C,Beta,C-ISO-Beta,1/20/20,8,3,S,C,10,big white chunks
1/28/20,y2020,M,Gamma,Mono-Gamma,1/24/20,4,1,S,H,12,"crashed, clear, weird blobs and pH 4.99"
1/28/20,y2020,Ch,Gamma,Chgra-Gamma,1/25/20,3,1,S+F,B,11,"crashed, clear and foamy"
1/28/20,y2020,Ch,Gamma,Chgra-Gamma,1/25/20,3,1,S+F,B,12,"crashed, clear and foamy"
1/28/20,y2020,CC,Alpha,CC-Alpha,1/24/20,4,,S+F,H,1,"crashed, clear and foamy"
1/29/20,y2020,Ch,Beta,Chgra-Beta,1/25/20,4,1,S+F,B,9,"clear, foamy"
1/29/20,y2020,Ch,Beta,Chgra-Beta,1/25/20,4,1,S+F,B,10,"clear, foamy"
1/29/20,y2020,M,Gamma,Mono-Gamma,1/25/20,4,1,S,D,12,"clear, scuzz lines"
1/29/20,y2020,Ch,Alpha,Chgra-Alpha,1/25/20,4,1,S+F,F,1,"clear, foamy"
1/29/20,y2020,Ch,Alpha,Chgra-Alpha,1/25/20,4,1,S+F,F,2,"clear, foamy"
1/29/20,y2020,Ch,Beta,Chgra-Beta,1/25/20,4,1,S+F,F,3,"clear, foamy"
1/29/20,y2020,Ch,Beta,Chgra-Beta,1/25/20,4,1,S+F,F,4,"clear, foamy"
1/29/20,y2020,Ch,Beta,Chgra-Beta,1/26/20,3,1,S+F,F,5,"clear, foamy"
1/29/20,y2020,Ch,Beta,Chgra-Beta,1/26/20,3,1,S+F,F,6,"clear, foamy"
1/29/20,y2020,Ch,Alpha,Chgra-Alpha,1/26/20,3,1,S+F,F,7,"clear, foamy"
1/29/20,y2020,Ch,Alpha,Chgra-Alpha,1/26/20,3,1,S+F,F,8,"clear, foamy"
1/29/20,y2020,M,Beta,Mono-Beta,1/26/20,3,1,S,F,12,"clear, scuzzy"
1/29/20,y2020,CC,Alpha,CC-Alpha,1/26/20,3,1,S,H,5,"chunky, scuzz"
1/29/20,y2020,CC,Gamma,CC-Gamma,1/26/20,3,1,S,H,6,"scuzz, clear"
1/29/20,y2020,CC,Gamma,CC-Gamma,1/26/20,3,1,S,H,7,"scuzz, clear"
1/29/20,y2020,CC,Gamma,CC-Gamma,1/26/20,3,1,S,H,8,"scuzz, clear"
1/29/20,y2020,CC,Gamma,CC-Gamma,1/26/20,3,1,S,H,9,"scuzz, clear"
1/30/20,y2020,CC,Beta,CC-Beta,1/25/20,5,1,S,J,1,"completely clear, white scuzz"
1/30/20,y2020,C,Beta,C-ISO-Beta,1/15/20,15,5,S,G,4,corner popped
1/31/20,y2020,T,Gamma,T-ISO-Gamma,1/15/20,16,0,S,A,2,crashed
1/31/20,y2020,T,Gamma,T-ISO-Gamma,1/15/20,16,0,S,A,1,crashed
