date,month,year,system_cell_count,hatchery_cell_count,total_spc_sum,total_spc_H,total_spc_+,total_spc_- ,tiso_sum,tiso_H,tiso_+,tiso_- ,ciso_sum,ciso_H,ciso_+,ciso_- ,chgra_sum,chgra_H,chgra_+,chgra_- ,cc_sum,cc_H,cc_+,cc_- ,mono_sum,mono_+,mono_- 
1/15/20,15-Jan,y2020,NA,NA,28,0,28,0,4,0,4,0,12,0,12,0,2,0,2,0,10,0,10,0,0,0,0
1/16/20,16-Jan,y2020,NA,NA,32,0,4,0,8,0,4,0,12,0,0,0,2,0,0,0,10,0,0,0,0,0,0
1/17/20,17-Jan,y2020,NA,NA,43,0,11,0,8,0,0,0,12,0,0,0,10,0,8,0,12,0,2,0,1,1,0
1/18/20,18-Jan,y2020,NA,NA,43,0,0,0,8,0,0,0,12,0,0,0,10,0,0,0,12,0,0,0,1,0,0
1/19/20,19-Jan,y2020,NA,NA,43,0,0,0,8,0,0,0,12,0,0,0,10,0,0,0,12,0,0,0,1,0,0
1/20/20,20-Jan,y2020,NA,NA,50,0,8,1,12,0,4,0,16,0,4,0,10,0,0,0,12,0,0,0,0,0,1
1/21/20,21-Jan,y2020,NA,NA,53,0,4,1,12,0,0,0,20,0,4,0,10,0,0,0,11,0,0,1,0,0,0
1/22/20,22-Jan,y2020,NA,NA,53,0,0,0,12,0,0,0,20,0,0,0,10,0,0,0,11,0,0,0,0,0,0
1/23/20,23-Jan,y2020,NA,NA,49,0,0,4,12,0,0,0,20,0,0,0,6,0,0,4,11,0,0,0,0,0,0
1/24/20,24-Jan,y2020,NA,NA,56,0,7,0,14,0,2,0,20,0,0,0,6,0,0,0,15,0,4,0,1,1,0
1/25/20,25-Jan,y2020,NA,NA,73,2,17,0,16,1,2,0,20,1,0,0,16,0,10,0,18,0,3,0,3,2,0
1/26/20,26-Jan,y2020,NA,NA,82,3,9,0,16,1,0,0,20,2,0,0,20,0,4,0,22,0,4,0,4,1,0
1/27/20,27-Jan,y2020,NA,NA,82,24,0,0,26,5,0,0,20,11,0,0,20,2,0,0,22,6,0,0,4,0,0
1/28/20,28-Jan,y2020,NA,NA,76,32,0,6,26,8,0,0,18,12,0,2,18,2,0,2,21,10,0,1,3,0,1
