UV earls and media,collects stock and place in hood,pour 50 mL stock in new stock,pour 100mL stock into earl,collect old stock for disposal,hook up new earls to airline + turn on air
10,4,1,1,2,5
16.5,5,1.2,1.7,1.5,4.5
11,2,1.1,2.1,,2
17,2,0.8,2.5,,4.9
,,0.9,2.4,,6
,,1.3,3.1,,
,,1.8,2.8,,
,,0.9,2,,
,,1,1.4,,
,,0.8,1.2,,
,,1.9,1.7,,
,,0.7,0.6,,
,,0.8,0.8,,
,,0.5,1,,
,,1.4,2.3,,
,,1.3,1.9,,
,,1.4,0.9,,
,,1.1,1.4,,
,,1.6,1.6,,
,,1.7,2.1,,
,,1.9,1.8,,
,,0.9,1.5,,
,,1.3,1.5,,
,,1,1.8,,
,,1.7,1.7,,
,,2.3,,,
,,3,,,
,,1.8,,,
,,2.4,,,
,,1.2,,,
,,1.2,,,
,,1,,,
,,2,,,
,,,,,
,,,,,
,,,,,
,,1.36,1.71,1.75,4.48
,,,,,
,,33,25,,
